,1Ap_x,1Ap_y,1Ap_z,1Ap_z_alt,,1Aq_x,1Aq_y,1Aq_z,1Aq_z_alt,,1Bp_x,1Bp_y,1Bp_z,1Bp_z_alt,,1Bq_x,1Bq_y,1Bq_z,1Bq_z_alt,,2Ap_x,2Ap_y,2Ap_z,2Ap_z_alt,,2Aq_x,2Aq_y,2Aq_z,2Aq_z_alt,,2Bp_x,2Bp_y,2Bp_z,2Bp_z_alt,,2Bq_x,2Bq_y,2Bq_z,2Bq_z_alt,,Xp_x,Xp_y,Xp_z,Xp_z_alt,,Xq_x,Xq_y,Xq_z,Xq_z_alt,,Y1p_x,Y1p_y,Y1p_z,Y1p_z_alt,,Y1q_x,Y1q_y,Y1q_z,Y1q_z_alt,,Y2p_x,Y2p_y,Y2p_z,Y2p_z_alt,,Y2q_x,Y2q_y,Y2q_z,Y2q_z_alt,
50-1,2.1,-1.8,,,,3.7,-3.2,,,,2.1,1.2,,,,0.1,4.4,,,,-2.5,0.0,,,,-4.7,-1.9,,,,-3.2,4.0,,,,-2.8,-2.6,,,,1.6,-1.4,,,,4.6,0.8,,,,1.2,0.6,,,,2.8,-2.0,,,,-1.7,1.2,,,,-2.7,1.3,,,
50-13,-4.8,-0.2,,,,-4.3,1.7,,,,-1.7,4.7,,,,-0.1,4.8,,,,0.9,-2.0,,,,-4.3,0.3,,,,5.0,-1.2,,,,-1.2,-1.0,,,,-0.8,3.5,,,,0.1,0.0,,,,3.8,0.2,,,,-0.8,0.6,,,,3.0,-0.4,,,,3.7,-0.8,,,
50-23,-3.2,-3.6,,,,-4.0,-2.3,,,,-2.5,3.9,,,,0.0,-3.3,,,,1.5,0.8,,,,2.9,-3.7,,,,0.6,-2.0,,,,-0.4,-2.6,,,,-0.6,3.3,,,,0.0,4.8,,,,-2.5,2.3,,,,-1.4,1.1,,,,1.2,2.8,,,,1.3,3.6,,,
51-7,-5.1,0.3,,,,-4.1,-1.1,,,,4.7,-1.8,,,,4.2,2.2,,,,-1.5,0.3,,,,-3.4,2.3,,,,2.4,-0.7,,,,0.3,4.2,,,,-2.3,-0.3,,,,3.7,2.8,,,,-0.7,1.1,,,,-1.5,5.0,,,,0.5,-0.8,,,,0.6,-1.9,,,
51-9,4.9,-0.3,,,,0.3,2.7,,,,-4.3,-0.9,,,,2.1,1.9,,,,0.2,-0.8,,,,4.4,-1.9,,,,-1.6,1.4,,,,3.0,2.6,,,,-2.2,1.9,,,,-2.6,4.3,,,,-2.8,-2.2,,,,-1.8,3.8,,,,-1.3,-3.2,,,,-0.3,-2.6,,,
51-11,-1.2,-3.5,,,,-4.8,1.8,,,,4.4,2.2,,,,4.8,-0.4,,,,0.6,0.2,,,,1.0,3.4,,,,1.8,-3.9,,,,-1.9,0.8,,,,-0.5,-2.4,,,,3.2,3.1,,,,1.8,0.2,,,,2.7,4.2,,,,1.0,0.0,,,,1.3,-0.8,,,
51-13,-2.8,3.8,,,,-3.7,3.4,,,,4.3,1.4,,,,0.8,4.4,,,,3.9,-2.9,,,,0.9,0.8,,,,-2.0,-1.0,,,,-1.0,-2.6,,,,1.1,-2.3,,,,-4.0,0.7,,,,0.0,1.0,,,,-1.4,4.4,,,,-0.5,-1.2,,,,0.4,-1.4,,,
51-18,-3.5,-2.2,,,,-2.2,-1.7,,,,-0.8,2.0,,,,-4.8,0.9,,,,2.6,1.8,,,,-1.3,3.7,,,,2.9,-1.3,,,,3.6,2.6,,,,0.3,-1.2,,,,4.8,0.1,,,,-0.8,0.9,,,,2.0,1.0,,,,2.0,-0.9,,,,1.6,-0.3,,,
51-26,4.8,0.8,,,,3.2,-2.3,,,,-2.5,-2.3,,,,-3.6,-1.4,,,,-1.3,2.5,,,,-4.7,-1.3,,,,-3.0,2.8,,,,0.0,0.4,,,,-3.2,0.9,,,,-2.2,-0.7,,,,0.3,1.6,,,,-1.2,4.3,,,,-0.5,1.9,,,,-0.4,1.0,,,
52-8,3.4,1.9,,,,2.4,3.3,,,,-4.0,1.4,,,,-1.4,2.8,,,,-2.0,-1.3,,,,2.0,3.1,,,,0.0,-2.5,,,,4.6,-0.3,,,,-1.0,-3.0,,,,3.2,1.0,,,,0.0,-1.5,,,,4.3,0.3,,,,-2.8,-2.5,,,,-2.8,-3.3,,,
52-29,-2.7,3.4,,,,-3.6,3.3,,,,-2.6,-2.6,,,,-4.3,-1.6,,,,2.9,-1.2,,,,1.2,3.9,,,,0.8,-0.4,,,,-4.7,0.3,,,,1.7,0.3,,,,-4.5,2.3,,,,1.2,-2.3,,,,4.4,0.3,,,,1.5,-0.9,,,,2.2,-1.4,,,
53-8,1.5,-1.4,,,,4.8,0.1,,,,-3.7,-1.1,,,,-1.3,-2.0,,,,-1.0,2.0,,,,-4.7,1.3,,,,-0.8,0.7,,,,-2.0,-3.2,,,,-0.3,2.8,,,,3.4,-1.4,,,,-1.3,1.4,,,,-4.5,-0.1,,,,0.0,1.0,,,,-0.5,1.4,,,
53-35,4.0,-1.3,,,,1.9,-3.8,,,,-4.5,1.3,,,,-3.0,0.8,,,,0.5,1.8,,,,3.5,-3.3,,,,1.0,3.0,,,,3.8,-0.7,,,,-0.7,-1.2,,,,-4.5,-1.3,,,,-1.0,1.3,,,,-2.2,-3.2,,,,0.5,0.8,,,,1.3,0.3,,,
54-8,-2.6,2.9,,,,-0.5,4.4,,,,1.3,-3.4,,,,-4.8,-0.3,,,,-1.0,-0.1,,,,2.0,3.8,,,,0.2,-0.2,,,,4.5,-1.0,,,,-2.7,3.0,,,,-0.7,4.4,,,,1.2,-0.3,,,,1.7,3.7,,,,-1.4,0.8,,,,-0.8,1.3,,,
54-9,-3.2,-2.9,,,,4.8,-0.6,,,,4.3,1.8,,,,2.4,4.2,,,,0.6,-1.7,,,,-4.6,0.2,,,,0.3,1.4,,,,1.3,2.7,,,,0.9,0.5,,,,-5.0,-1.7,,,,-1.0,0.2,,,,-2.7,4.2,,,,1.8,-1.4,,,,1.4,-0.7,,,
54-13,3.6,3.5,,,,2.6,3.9,,,,-0.3,-3.5,,,,-4.8,0.9,,,,0.3,0.4,,,,0.9,4.6,,,,-1.7,0.5,,,,-1.8,1.2,,,,2.2,-3.5,,,,3.9,0.0,,,,0.8,-1.9,,,,-3.9,-3.0,,,,0.0,-0.2,,,,0.7,-0.9,,,
54-16,-4.8,-0.9,,,,-4.3,1.0,,,,4.3,-1.8,,,,4.3,1.0,,,,-1.3,0.1,,,,-1.1,-1.3,,,,1.0,-0.9,,,,-0.8,-2.7,,,,2.6,-0.8,,,,0.4,4.8,,,,-0.4,-1.0,,,,-3.2,-3.4,,,,0.3,-0.1,,,,-0.2,-0.6,,,
54-19,4.2,1.3,,,,-3.3,-1.1,,,,-3.9,1.7,,,,-5.0,1.0,,,,3.3,-1.0,,,,-0.2,4.0,,,,1.7,-0.8,,,,-2.6,-3.8,,,,-0.8,1.0,,,,-4.3,-0.7,,,,0.5,-0.7,,,,2.1,-3.4,,,,-1.8,0.1,,,,-2.5,0.0,,,
54-22,0.3,-1.8,,,,-2.6,-3.8,,,,1.6,3.8,,,,2.6,0.2,,,,0.8,2.0,,,,-4.8,-0.4,,,,1.8,2.4,,,,-4.7,1.9,,,,-0.7,-0.9,,,,-2.3,-3.9,,,,2.3,-1.7,,,,0.2,-3.4,,,,1.7,1.9,,,,0.9,1.0,,,
54-23,3.6,-3.0,,,,3.9,-0.8,,,,3.8,2.9,,,,2.6,1.9,,,,-1.8,0.7,,,,-0.2,3.4,,,,-1.8,-0.1,,,,-3.8,2.5,,,,-2.7,-1.8,,,,-4.6,-2.2,,,,0.5,0.3,,,,5.0,0.5,,,,-0.8,0.6,,,,0.0,0.3,,,
